"date","day","month","year","n_cases","n_deaths","country","geo_id","country_code","n_population_2018","n_cases_sum","dss","rsq","K","Y0","r","max_day"
"2020-04-14",14,4,2020,0,0,"Central_African_Republic","CF","CAF",4666377,11,30,0.917311274764802,30,2,0.0744932827691514,32
"2020-04-15",15,4,2020,0,0,"Central_African_Republic","CF","CAF",4666377,11,31,0.917311274764802,30,2,0.0744932827691514,32
"2020-04-16",16,4,2020,0,0,"Central_African_Republic","CF","CAF",4666377,11,32,0.917311274764802,30,2,0.0744932827691514,32
"2019-12-31",31,12,2019,0,0,"Canada","CA","CAN",37058856,0,NA,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-01-01",1,1,2020,0,0,"Canada","CA","CAN",37058856,0,NA,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-01-02",2,1,2020,0,0,"Canada","CA","CAN",37058856,0,NA,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-01-03",3,1,2020,0,0,"Canada","CA","CAN",37058856,0,NA,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-01-04",4,1,2020,0,0,"Canada","CA","CAN",37058856,0,NA,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-01-05",5,1,2020,0,0,"Canada","CA","CAN",37058856,0,NA,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-01-06",6,1,2020,0,0,"Canada","CA","CAN",37058856,0,NA,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-01-07",7,1,2020,0,0,"Canada","CA","CAN",37058856,0,NA,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-01-08",8,1,2020,0,0,"Canada","CA","CAN",37058856,0,NA,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-01-09",9,1,2020,0,0,"Canada","CA","CAN",37058856,0,NA,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-01-10",10,1,2020,0,0,"Canada","CA","CAN",37058856,0,NA,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-01-11",11,1,2020,0,0,"Canada","CA","CAN",37058856,0,NA,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-01-12",12,1,2020,0,0,"Canada","CA","CAN",37058856,0,NA,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-01-13",13,1,2020,0,0,"Canada","CA","CAN",37058856,0,NA,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-01-14",14,1,2020,0,0,"Canada","CA","CAN",37058856,0,NA,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-01-15",15,1,2020,0,0,"Canada","CA","CAN",37058856,0,NA,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-01-16",16,1,2020,0,0,"Canada","CA","CAN",37058856,0,NA,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-01-17",17,1,2020,0,0,"Canada","CA","CAN",37058856,0,NA,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-01-18",18,1,2020,0,0,"Canada","CA","CAN",37058856,0,NA,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-01-19",19,1,2020,0,0,"Canada","CA","CAN",37058856,0,NA,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-01-20",20,1,2020,0,0,"Canada","CA","CAN",37058856,0,NA,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-01-21",21,1,2020,0,0,"Canada","CA","CAN",37058856,0,NA,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-01-22",22,1,2020,0,0,"Canada","CA","CAN",37058856,0,NA,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-01-23",23,1,2020,0,0,"Canada","CA","CAN",37058856,0,NA,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-01-24",24,1,2020,0,0,"Canada","CA","CAN",37058856,0,NA,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-01-25",25,1,2020,0,0,"Canada","CA","CAN",37058856,0,NA,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-01-26",26,1,2020,1,0,"Canada","CA","CAN",37058856,1,1,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-01-27",27,1,2020,0,0,"Canada","CA","CAN",37058856,1,2,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-01-28",28,1,2020,1,0,"Canada","CA","CAN",37058856,2,3,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-01-29",29,1,2020,1,0,"Canada","CA","CAN",37058856,3,4,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-01-30",30,1,2020,0,0,"Canada","CA","CAN",37058856,3,5,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-01-31",31,1,2020,0,0,"Canada","CA","CAN",37058856,3,6,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-02-01",1,2,2020,1,0,"Canada","CA","CAN",37058856,4,7,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-02-02",2,2,2020,0,0,"Canada","CA","CAN",37058856,4,8,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-02-03",3,2,2020,0,0,"Canada","CA","CAN",37058856,4,9,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-02-04",4,2,2020,0,0,"Canada","CA","CAN",37058856,4,10,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-02-05",5,2,2020,1,0,"Canada","CA","CAN",37058856,5,11,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-02-06",6,2,2020,0,0,"Canada","CA","CAN",37058856,5,12,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-02-07",7,2,2020,2,0,"Canada","CA","CAN",37058856,7,13,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-02-08",8,2,2020,0,0,"Canada","CA","CAN",37058856,7,14,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-02-09",9,2,2020,0,0,"Canada","CA","CAN",37058856,7,15,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-02-10",10,2,2020,0,0,"Canada","CA","CAN",37058856,7,16,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-02-11",11,2,2020,0,0,"Canada","CA","CAN",37058856,7,17,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-02-12",12,2,2020,0,0,"Canada","CA","CAN",37058856,7,18,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-02-13",13,2,2020,0,0,"Canada","CA","CAN",37058856,7,19,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-02-14",14,2,2020,0,0,"Canada","CA","CAN",37058856,7,20,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-02-15",15,2,2020,1,0,"Canada","CA","CAN",37058856,8,21,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
"2020-02-16",16,2,2020,0,0,"Canada","CA","CAN",37058856,8,22,0.999178306331576,32155.0295546886,0.0338667778755842,0.189588197841895,82
